sigla,regione
AQ,ABRUZZO
CH,ABRUZZO
PE,ABRUZZO
TE,ABRUZZO
MT,BASILICATA
PZ,BASILICATA
CS,CALABRIA
CZ,CALABRIA
KR,CALABRIA
RC,CALABRIA
VV,CALABRIA
AV,CAMPANIA
BN,CAMPANIA
CE,CAMPANIA
NA,CAMPANIA
SA,CAMPANIA
BO,EMILIA-ROMAGNA
FC,EMILIA-ROMAGNA
FE,EMILIA-ROMAGNA
MO,EMILIA-ROMAGNA
PC,EMILIA-ROMAGNA
PR,EMILIA-ROMAGNA
RA,EMILIA-ROMAGNA
RE,EMILIA-ROMAGNA
RN,EMILIA-ROMAGNA
GO,FRIULI-VENEZIA GIULIA
PN,FRIULI-VENEZIA GIULIA
TS,FRIULI-VENEZIA GIULIA
UD,FRIULI-VENEZIA GIULIA
FR,LAZIO
LT,LAZIO
RI,LAZIO
RM,LAZIO
VT,LAZIO
GE,LIGURIA
IM,LIGURIA
SP,LIGURIA
SV,LIGURIA
BG,LOMBARDIA
BS,LOMBARDIA
CO,LOMBARDIA
CR,LOMBARDIA
LC,LOMBARDIA
LO,LOMBARDIA
MB,LOMBARDIA
MI,LOMBARDIA
MN,LOMBARDIA
PV,LOMBARDIA
SO,LOMBARDIA
VA,LOMBARDIA
AN,MARCHE
AP,MARCHE
FM,MARCHE
MC,MARCHE
PU,MARCHE
CB,MOLISE
IS,MOLISE
AL,PIEMONTE
AT,PIEMONTE
BI,PIEMONTE
CN,PIEMONTE
NO,PIEMONTE
TO,PIEMONTE
VB,PIEMONTE
VC,PIEMONTE
BA,PUGLIA
BR,PUGLIA
BT,PUGLIA
FG,PUGLIA
LE,PUGLIA
TA,PUGLIA
CA,SARDEGNA
NU,SARDEGNA
OR,SARDEGNA
SS,SARDEGNA
SU,SARDEGNA
AG,SICILIA
CL,SICILIA
CT,SICILIA
EN,SICILIA
ME,SICILIA
PA,SICILIA
RG,SICILIA
SR,SICILIA
TP,SICILIA
AR,TOSCANA
FI,TOSCANA
GR,TOSCANA
LI,TOSCANA
LU,TOSCANA
MS,TOSCANA
PI,TOSCANA
PO,TOSCANA
PT,TOSCANA
SI,TOSCANA
BZ,TRENTINO-ALTO ADIGE
TN,TRENTINO-ALTO ADIGE
PG,UMBRIA
TR,UMBRIA
AO,VALLE D’AOSTA
BL,VENETO
PD,VENETO
RO,VENETO
TV,VENETO
VE,VENETO
VI,VENETO
VR,VENETO
